"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SCP",0.921,5.3814886010663,0,"Student-t",7,50,50
"RSA-CP (OT) (Ours)",0.9205,5.37166471215431,0,"Student-t",7,50,50
"SPI",0.999,21.3123872568744,0,"Student-t",7,50,50
"Synthetic-only",0.999,19.37481265944,0,"Student-t",7,50,50
"SCP",0.921,5.3814886010663,0,"Student-t",7,100,100
"RSA-CP (OT) (Ours)",0.9155,5.21372228439766,0,"Student-t",7,100,100
"SPI",0.9715,7.72197448167588,0.00999999999999979,"Student-t",7,100,100
"Synthetic-only",0.993,11.1341948325825,0,"Student-t",7,100,100
"SCP",0.921,5.3814886010663,0,"Student-t",7,250,250
"RSA-CP (OT) (Ours)",0.917,5.26311713324049,0,"Student-t",7,250,250
"SPI",0.9715,7.72197448167588,0,"Student-t",7,250,250
"Synthetic-only",0.9965,14.1664255062063,0,"Student-t",7,250,250
"SCP",0.921,5.3814886010663,0,"Student-t",7,500,500
"RSA-CP (OT) (Ours)",0.917,5.26311713324049,0.02,"Student-t",7,500,500
"SPI",0.9715,7.72197448167588,0,"Student-t",7,500,500
"Synthetic-only",0.9935,12.1096698015935,0,"Student-t",7,500,500
"SCP",0.921,5.3814886010663,0,"Student-t",7,1000,1000
"RSA-CP (OT) (Ours)",0.917,5.26311713324049,0.0100000000000002,"Student-t",7,1000,1000
"SPI",0.9715,7.72197448167588,0.02,"Student-t",7,1000,1000
"Synthetic-only",0.9935,11.5872636992655,0,"Student-t",7,1000,1000
"SCP",0.921,5.3814886010663,0,"Student-t",7,2000,2000
"RSA-CP (OT) (Ours)",0.917,5.26311713324049,0,"Student-t",7,2000,2000
"SPI",0.9715,7.72197448167588,0.0299999999999998,"Student-t",7,2000,2000
"Synthetic-only",0.9935,12.1061185455699,0,"Student-t",7,2000,2000
"SCP",0.921,5.3814886010663,0,"Student-t",7,3000,3000
"RSA-CP (OT) (Ours)",0.917,5.26311713324049,0.02,"Student-t",7,3000,3000
"SPI",0.9715,7.72197448167588,0.04,"Student-t",7,3000,3000
"Synthetic-only",0.993,11.1415278404329,0,"Student-t",7,3000,3000
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,50,50
"RSA-CP (OT) (Ours)",0.959,9.54718729851066,0.02,"LogNormal",8,50,50
"SPI",0.998,24.8614448655313,0,"LogNormal",8,50,50
"Synthetic-only",0.9925,16.6194825375835,0,"LogNormal",8,50,50
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,100,100
"RSA-CP (OT) (Ours)",0.9575,9.44149887823194,0,"LogNormal",8,100,100
"SPI",0.9825,13.1304792882838,0,"LogNormal",8,100,100
"Synthetic-only",0.994,17.2361191150297,0,"LogNormal",8,100,100
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,250,250
"RSA-CP (OT) (Ours)",0.9515,9.01874519711708,0.02,"LogNormal",8,250,250
"SPI",0.9825,13.1304792882838,0,"LogNormal",8,250,250
"Synthetic-only",0.991,15.2802061594395,0,"LogNormal",8,250,250
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,500,500
"RSA-CP (OT) (Ours)",0.951,8.98351572369084,0,"LogNormal",8,500,500
"SPI",0.9825,13.1304792882838,0.00999999999999979,"LogNormal",8,500,500
"Synthetic-only",0.991,15.3017951021899,0,"LogNormal",8,500,500
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,1000,1000
"RSA-CP (OT) (Ours)",0.953,9.15966309082203,0,"LogNormal",8,1000,1000
"SPI",0.9515,9.04758524937768,0.0300000000000002,"LogNormal",8,1000,1000
"Synthetic-only",0.9485,8.79864899920472,0.02,"LogNormal",8,1000,1000
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,2000,2000
"RSA-CP (OT) (Ours)",0.9515,9.05397467054332,0,"LogNormal",8,2000,2000
"SPI",0.9825,13.1304792882838,0.0299999999999998,"LogNormal",8,2000,2000
"Synthetic-only",0.9885,13.9009132427307,0,"LogNormal",8,2000,2000
"SCP",0.9595,9.5577607948654,0,"LogNormal",8,3000,3000
"RSA-CP (OT) (Ours)",0.9515,9.05835090772118,0.02,"LogNormal",8,3000,3000
"SPI",0.969,10.9839383089785,0.0500000000000003,"LogNormal",8,3000,3000
"Synthetic-only",0.963,10.0929634110603,0,"LogNormal",8,3000,3000
"SCP",0.921,5.38389142420749,0,"Student-t",8,50,50
"RSA-CP (OT) (Ours)",0.9205,5.37087872874617,0,"Student-t",8,50,50
"SPI",0.999,18.507426580804,0,"Student-t",8,50,50
"Synthetic-only",0.999,17.5203786085415,0,"Student-t",8,50,50
"SCP",0.921,5.38389142420749,0,"Student-t",8,100,100
"RSA-CP (OT) (Ours)",0.9135,5.16189512062375,0.00999999999999979,"Student-t",8,100,100
"SPI",0.9595,6.84154514123359,0,"Student-t",8,100,100
"Synthetic-only",0.995,12.9331897405261,0,"Student-t",8,100,100
"SCP",0.921,5.38389142420749,0,"Student-t",8,250,250
"RSA-CP (OT) (Ours)",0.9155,5.22672405489879,0,"Student-t",8,250,250
"SPI",0.9595,6.84154514123359,0,"Student-t",8,250,250
"Synthetic-only",0.995,13.2765721094525,0,"Student-t",8,250,250
"SCP",0.921,5.38389142420749,0,"Student-t",8,500,500
"RSA-CP (OT) (Ours)",0.9135,5.17471685037243,0.02,"Student-t",8,500,500
"SPI",0.9595,6.84154514123359,0,"Student-t",8,500,500
"Synthetic-only",0.993,11.1903012666472,0,"Student-t",8,500,500
"SCP",0.921,5.38389142420749,0,"Student-t",8,1000,1000
"RSA-CP (OT) (Ours)",0.915,5.20072045263561,0.0100000000000002,"Student-t",8,1000,1000
"SPI",0.9595,6.84154514123359,0.02,"Student-t",8,1000,1000
"Synthetic-only",0.993,11.3117555884405,0,"Student-t",8,1000,1000
"SCP",0.921,5.38389142420749,0,"Student-t",8,2000,2000
"RSA-CP (OT) (Ours)",0.915,5.20072045263561,0,"Student-t",8,2000,2000
"SPI",0.9595,6.84154514123359,0.0299999999999998,"Student-t",8,2000,2000
"Synthetic-only",0.9935,12.0382355177326,0,"Student-t",8,2000,2000
"SCP",0.921,5.38389142420749,0,"Student-t",8,3000,3000
"RSA-CP (OT) (Ours)",0.9135,5.17079913181835,0.02,"Student-t",8,3000,3000
"SPI",0.9595,6.84154514123359,0.04,"Student-t",8,3000,3000
"Synthetic-only",0.993,10.9310535057259,0,"Student-t",8,3000,3000
"SCP",0.99,14.4602776447389,0,"LogNormal",9,50,50
"RSA-CP (OT) (Ours)",0.99,14.4550506146808,0,"LogNormal",9,50,50
"SPI",0.996,20.4318912363686,0.02,"LogNormal",9,50,50
"Synthetic-only",0.9905,15.1695477643334,0.02,"LogNormal",9,50,50
"SCP",0.99,14.4602776447389,0,"LogNormal",9,100,100
"RSA-CP (OT) (Ours)",0.9875,13.6498550824146,0,"LogNormal",9,100,100
"SPI",0.9745,11.7049321687376,0,"LogNormal",9,100,100
"Synthetic-only",0.904,7.28036861880587,0,"LogNormal",9,100,100
"SCP",0.99,14.4602776447389,0,"LogNormal",9,250,250
"RSA-CP (OT) (Ours)",0.981,12.7197442639031,0,"LogNormal",9,250,250
"SPI",0.9945,18.1560019826904,0.00999999999999979,"LogNormal",9,250,250
"Synthetic-only",0.994,17.3086794526586,0.00999999999999979,"LogNormal",9,250,250
"SCP",0.99,14.4602776447389,0,"LogNormal",9,500,500
"RSA-CP (OT) (Ours)",0.981,12.49179185774,0,"LogNormal",9,500,500
"SPI",0.9915,16.1272721373359,0.02,"LogNormal",9,500,500
"Synthetic-only",0.991,15.2859884343651,0,"LogNormal",9,500,500
"SCP",0.99,14.4602776447389,0,"LogNormal",9,1000,1000
"RSA-CP (OT) (Ours)",0.981,12.6741537826705,0,"LogNormal",9,1000,1000
"SPI",0.9745,11.7049321687376,0.0100000000000002,"LogNormal",9,1000,1000
"Synthetic-only",0.927,8.01486796083809,0,"LogNormal",9,1000,1000
"SCP",0.99,14.4602776447389,0,"LogNormal",9,2000,2000
"RSA-CP (OT) (Ours)",0.981,12.6023700554128,0.02,"LogNormal",9,2000,2000
"SPI",0.981,12.4697597804756,0.0299999999999998,"LogNormal",9,2000,2000
"Synthetic-only",0.978,12.1775019046332,0,"LogNormal",9,2000,2000
"SCP",0.99,14.4602776447389,0,"LogNormal",9,3000,3000
"RSA-CP (OT) (Ours)",0.981,12.6974822822461,0,"LogNormal",9,3000,3000
"SPI",0.9785,12.3544752690323,0.0600000000000001,"LogNormal",9,3000,3000
"Synthetic-only",0.9785,12.3462494214649,0.02,"LogNormal",9,3000,3000
"SCP",0.964,7.14332053622205,0,"Student-t",9,50,50
"RSA-CP (OT) (Ours)",0.964,7.13976432775873,0,"Student-t",9,50,50
"SPI",0.999,16.8447801942676,0,"Student-t",9,50,50
"Synthetic-only",0.998,15.5988965025401,0,"Student-t",9,50,50
"SCP",0.964,7.14332053622205,0,"Student-t",9,100,100
"RSA-CP (OT) (Ours)",0.96,6.90177218350011,0,"Student-t",9,100,100
"SPI",0.971,7.60940215909575,0.02,"Student-t",9,100,100
"Synthetic-only",0.9885,9.94717096945233,0,"Student-t",9,100,100
"SCP",0.964,7.14332053622205,0,"Student-t",9,250,250
"RSA-CP (OT) (Ours)",0.958,6.72648892821153,0,"Student-t",9,250,250
"SPI",0.971,7.60940215909575,0,"Student-t",9,250,250
"Synthetic-only",0.9935,11.9492845046284,0,"Student-t",9,250,250
"SCP",0.964,7.14332053622205,0,"Student-t",9,500,500
"RSA-CP (OT) (Ours)",0.954,6.56164246875157,0.02,"Student-t",9,500,500
"SPI",0.971,7.60940215909575,0,"Student-t",9,500,500
"Synthetic-only",0.9935,12.0009776350976,0,"Student-t",9,500,500
"SCP",0.964,7.14332053622205,0,"Student-t",9,1000,1000
"RSA-CP (OT) (Ours)",0.9515,6.34650665010397,0,"Student-t",9,1000,1000
"SPI",0.971,7.60940215909575,0.0299999999999998,"Student-t",9,1000,1000
"Synthetic-only",0.9935,11.9114658684943,0.00999999999999979,"Student-t",9,1000,1000
"SCP",0.964,7.14332053622205,0,"Student-t",9,2000,2000
"RSA-CP (OT) (Ours)",0.949,6.27479471055478,0,"Student-t",9,2000,2000
"SPI",0.971,7.60940215909575,0.0300000000000002,"Student-t",9,2000,2000
"Synthetic-only",0.995,13.2002684773738,0,"Student-t",9,2000,2000
"SCP",0.964,7.14332053622205,0,"Student-t",9,3000,3000
"RSA-CP (OT) (Ours)",0.949,6.27264158612854,0,"Student-t",9,3000,3000
"SPI",0.971,7.60940215909575,0.0600000000000001,"Student-t",9,3000,3000
"Synthetic-only",0.9935,11.8968088882859,0,"Student-t",9,3000,3000
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,50,50
"RSA-CP (OT) (Ours)",0.9095,7.48293418596732,0,"LogNormal",10,50,50
"SPI",0.9515,9.03626608073613,0.02,"LogNormal",10,50,50
"Synthetic-only",0.9175,7.72103228431697,0,"LogNormal",10,50,50
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,100,100
"RSA-CP (OT) (Ours)",0.9005,7.22190159808474,0,"LogNormal",10,100,100
"SPI",0.9665,10.494284635966,0,"LogNormal",10,100,100
"Synthetic-only",0.9945,17.8753684082388,0,"LogNormal",10,100,100
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,250,250
"RSA-CP (OT) (Ours)",0.9045,7.28715974505538,0,"LogNormal",10,250,250
"SPI",0.9665,10.494284635966,0.00999999999999979,"LogNormal",10,250,250
"Synthetic-only",0.9745,11.6692885948755,0,"LogNormal",10,250,250
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,500,500
"RSA-CP (OT) (Ours)",0.9015,7.24697135507542,0,"LogNormal",10,500,500
"SPI",0.9665,10.494284635966,0.02,"LogNormal",10,500,500
"Synthetic-only",0.991,15.3401771846442,0,"LogNormal",10,500,500
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,1000,1000
"RSA-CP (OT) (Ours)",0.9015,7.24697135507542,0,"LogNormal",10,1000,1000
"SPI",0.9665,10.494284635966,0.0100000000000002,"LogNormal",10,1000,1000
"Synthetic-only",0.9615,9.93804415622188,0,"LogNormal",10,1000,1000
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,2000,2000
"RSA-CP (OT) (Ours)",0.9015,7.24697135507542,0,"LogNormal",10,2000,2000
"SPI",0.9615,9.90100812697861,0.0499999999999998,"LogNormal",10,2000,2000
"Synthetic-only",0.9605,9.79752554961544,0.02,"LogNormal",10,2000,2000
"SCP",0.9095,7.48298984938489,0,"LogNormal",10,3000,3000
"RSA-CP (OT) (Ours)",0.9015,7.24697135507542,0,"LogNormal",10,3000,3000
"SPI",0.951,8.98573981201518,0.0500000000000003,"LogNormal",10,3000,3000
"Synthetic-only",0.948,8.76305203192824,0,"LogNormal",10,3000,3000
"SCP",0.947,6.20758014936492,0,"Student-t",10,50,50
"RSA-CP (OT) (Ours)",0.947,6.19891384496758,0.00999999999999979,"Student-t",10,50,50
"SPI",0.999,19.3509099651106,0,"Student-t",10,50,50
"Synthetic-only",0.993,11.3652151279915,0,"Student-t",10,50,50
"SCP",0.947,6.20758014936492,0,"Student-t",10,100,100
"RSA-CP (OT) (Ours)",0.947,6.19320283411483,0,"Student-t",10,100,100
"SPI",0.9635,7.08869594670113,0,"Student-t",10,100,100
"Synthetic-only",0.998,15.6130501588391,0,"Student-t",10,100,100
"SCP",0.947,6.20758014936492,0,"Student-t",10,250,250
"RSA-CP (OT) (Ours)",0.947,6.16786753905867,0,"Student-t",10,250,250
"SPI",0.9635,7.08869594670113,0.0199999999999996,"Student-t",10,250,250
"Synthetic-only",0.995,13.2782988386444,0,"Student-t",10,250,250
"SCP",0.947,6.20758014936492,0,"Student-t",10,500,500
"RSA-CP (OT) (Ours)",0.947,6.16722680123098,0,"Student-t",10,500,500
"SPI",0.9635,7.08869594670113,0.0100000000000007,"Student-t",10,500,500
"Synthetic-only",0.9935,11.5878984025959,0,"Student-t",10,500,500
"SCP",0.947,6.20758014936492,0,"Student-t",10,1000,1000
"RSA-CP (OT) (Ours)",0.947,6.17687606572963,0,"Student-t",10,1000,1000
"SPI",0.9635,7.08869594670113,0.0199999999999996,"Student-t",10,1000,1000
"Synthetic-only",0.9945,12.6864212466741,0,"Student-t",10,1000,1000
"SCP",0.947,6.20758014936492,0,"Student-t",10,2000,2000
"RSA-CP (OT) (Ours)",0.947,6.17687606572963,0.00999999999999979,"Student-t",10,2000,2000
"SPI",0.9635,7.08869594670113,0.04,"Student-t",10,2000,2000
"Synthetic-only",0.9935,12.1783082343624,0,"Student-t",10,2000,2000
"SCP",0.947,6.20758014936492,0,"Student-t",10,3000,3000
"RSA-CP (OT) (Ours)",0.947,6.17687606572963,0,"Student-t",10,3000,3000
"SPI",0.9635,7.08869594670113,0.0600000000000005,"Student-t",10,3000,3000
"Synthetic-only",0.993,11.16662201833,0.0100000000000007,"Student-t",10,3000,3000
"SCP",0.975,11.7643676165316,0,"LogNormal",11,50,50
"RSA-CP (OT) (Ours)",0.975,11.7504446252936,0.00999999999999979,"LogNormal",11,50,50
"SPI",0.998,24.6550833216581,0,"LogNormal",11,50,50
"Synthetic-only",0.994,17.1790830687269,0,"LogNormal",11,50,50
"SCP",0.975,11.7643676165316,0,"LogNormal",11,100,100
"RSA-CP (OT) (Ours)",0.9605,9.85625207074451,0,"LogNormal",11,100,100
"SPI",0.9825,13.2342710286802,0,"LogNormal",11,100,100
"Synthetic-only",0.9945,17.5389294766018,0,"LogNormal",11,100,100
"SCP",0.975,11.7643676165316,0,"LogNormal",11,250,250
"RSA-CP (OT) (Ours)",0.968,10.7155242081787,0.0200000000000005,"LogNormal",11,250,250
"SPI",0.9595,9.66709312202057,0,"LogNormal",11,250,250
"Synthetic-only",0.9435,8.61992397814157,0,"LogNormal",11,250,250
"SCP",0.975,11.7643676165316,0,"LogNormal",11,500,500
"RSA-CP (OT) (Ours)",0.9625,9.98839935119514,0,"LogNormal",11,500,500
"SPI",0.959,9.53484212672726,0.0199999999999996,"LogNormal",11,500,500
"Synthetic-only",0.9585,9.46983618365544,0,"LogNormal",11,500,500
"SCP",0.975,11.7643676165316,0,"LogNormal",11,1000,1000
"RSA-CP (OT) (Ours)",0.963,10.064938809825,0,"LogNormal",11,1000,1000
"SPI",0.944,8.66876095005386,0.00999999999999979,"LogNormal",11,1000,1000
"Synthetic-only",0.935,8.33355744916216,0,"LogNormal",11,1000,1000
"SCP",0.975,11.7643676165316,0,"LogNormal",11,2000,2000
"RSA-CP (OT) (Ours)",0.9605,9.79705070462052,0,"LogNormal",11,2000,2000
"SPI",0.9825,13.2342710286802,0.0299999999999994,"LogNormal",11,2000,2000
"Synthetic-only",0.99,14.6968215520124,0,"LogNormal",11,2000,2000
"SCP",0.975,11.7643676165316,0,"LogNormal",11,3000,3000
"RSA-CP (OT) (Ours)",0.9595,9.6362907879074,0.0100000000000007,"LogNormal",11,3000,3000
"SPI",0.944,8.67177294591636,0.0499999999999998,"LogNormal",11,3000,3000
"Synthetic-only",0.944,8.65897646123266,0,"LogNormal",11,3000,3000
"SCP",0.934,5.75150151697426,0,"Student-t",11,50,50
"RSA-CP (OT) (Ours)",0.934,5.7436108048073,0,"Student-t",11,50,50
"SPI",0.9965,14.1740251412561,0.0199999999999996,"Student-t",11,50,50
"Synthetic-only",0.9945,12.7841951181593,0,"Student-t",11,50,50
"SCP",0.934,5.75150151697426,0,"Student-t",11,100,100
"RSA-CP (OT) (Ours)",0.9225,5.50638831809893,0,"Student-t",11,100,100
"SPI",0.9835,8.83739899962122,0,"Student-t",11,100,100
"Synthetic-only",0.995,12.8861364930318,0,"Student-t",11,100,100
"SCP",0.934,5.75150151697426,0,"Student-t",11,250,250
"RSA-CP (OT) (Ours)",0.925,5.57860324686088,0,"Student-t",11,250,250
"SPI",0.9805,8.47846883244038,0.0100000000000007,"Student-t",11,250,250
"Synthetic-only",0.972,7.75613732755342,0,"Student-t",11,250,250
"SCP",0.934,5.75150151697426,0,"Student-t",11,500,500
"RSA-CP (OT) (Ours)",0.9225,5.47916468470162,0,"Student-t",11,500,500
"SPI",0.9835,8.83739899962122,0.0199999999999996,"Student-t",11,500,500
"Synthetic-only",0.984,9.07601224094876,0,"Student-t",11,500,500
"SCP",0.934,5.75150151697426,0,"Student-t",11,1000,1000
"RSA-CP (OT) (Ours)",0.923,5.51367256194783,0,"Student-t",11,1000,1000
"SPI",0.9835,8.83739899962122,0.00999999999999979,"Student-t",11,1000,1000
"Synthetic-only",0.9935,11.9549509384797,0,"Student-t",11,1000,1000
"SCP",0.934,5.75150151697426,0,"Student-t",11,2000,2000
"RSA-CP (OT) (Ours)",0.9225,5.47803891499376,0.0200000000000005,"Student-t",11,2000,2000
"SPI",0.9835,8.83739899962122,0.0300000000000002,"Student-t",11,2000,2000
"Synthetic-only",0.9925,10.7886837032247,0,"Student-t",11,2000,2000
"SCP",0.934,5.75150151697426,0,"Student-t",11,3000,3000
"RSA-CP (OT) (Ours)",0.922,5.45863466273781,0,"Student-t",11,3000,3000
"SPI",0.9835,8.83739899962122,0.0499999999999998,"Student-t",11,3000,3000
"Synthetic-only",0.9935,11.9339905251366,0,"Student-t",11,3000,3000
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,50,50
"RSA-CP (OT) (Ours)",0.8705,6.35644784195484,0,"LogNormal",12,50,50
"SPI",0.9965,21.0684714266239,0,"LogNormal",12,50,50
"Synthetic-only",0.996,19.5677757131263,0,"LogNormal",12,50,50
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,100,100
"RSA-CP (OT) (Ours)",0.8525,6.05020155292193,0,"LogNormal",12,100,100
"SPI",0.943,8.60793274974143,0.0199999999999996,"LogNormal",12,100,100
"Synthetic-only",0.994,17.2981486934297,0,"LogNormal",12,100,100
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,250,250
"RSA-CP (OT) (Ours)",0.859,6.17244359609831,0,"LogNormal",12,250,250
"SPI",0.943,8.60793274974143,0,"LogNormal",12,250,250
"Synthetic-only",0.996,19.6707434934877,0,"LogNormal",12,250,250
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,500,500
"RSA-CP (OT) (Ours)",0.8525,6.04317776162505,0.0100000000000007,"LogNormal",12,500,500
"SPI",0.943,8.60793274974143,0,"LogNormal",12,500,500
"Synthetic-only",0.9895,14.2278585864082,0,"LogNormal",12,500,500
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,1000,1000
"RSA-CP (OT) (Ours)",0.853,6.07549422024336,0.0199999999999996,"LogNormal",12,1000,1000
"SPI",0.943,8.60793274974143,0.00999999999999979,"LogNormal",12,1000,1000
"Synthetic-only",0.9595,9.57311449417932,0,"LogNormal",12,1000,1000
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,2000,2000
"RSA-CP (OT) (Ours)",0.853,6.06921271718185,0,"LogNormal",12,2000,2000
"SPI",0.943,8.60793274974143,0.04,"LogNormal",12,2000,2000
"Synthetic-only",0.981,12.6690970774342,0,"LogNormal",12,2000,2000
"SCP",0.8715,6.36398997942925,0,"LogNormal",12,3000,3000
"RSA-CP (OT) (Ours)",0.853,6.06557947930931,0.0100000000000007,"LogNormal",12,3000,3000
"SPI",0.943,8.60793274974143,0.0499999999999998,"LogNormal",12,3000,3000
"Synthetic-only",0.9695,11.0625751763639,0,"LogNormal",12,3000,3000
"SCP",0.999,17.4023208442373,0,"Student-t",12,50,50
"RSA-CP (OT) (Ours)",0.999,17.3797819740033,0,"Student-t",12,50,50
"SPI",0.999,18.9902210742914,0,"Student-t",12,50,50
"Synthetic-only",0.995,13.1501111079318,0,"Student-t",12,50,50
"SCP",0.999,17.4023208442373,0,"Student-t",12,100,100
"RSA-CP (OT) (Ours)",0.9965,14.353949428889,0.00999999999999979,"Student-t",12,100,100
"SPI",0.9965,14.1581564022941,0,"Student-t",12,100,100
"Synthetic-only",0.995,13.8592820723007,0,"Student-t",12,100,100
"SCP",0.999,17.4023208442373,0,"Student-t",12,250,250
"RSA-CP (OT) (Ours)",0.995,13.0157198460646,0,"Student-t",12,250,250
"SPI",0.984,9.09594697050845,0.0200000000000005,"Student-t",12,250,250
"Synthetic-only",0.984,9.06336021621141,0,"Student-t",12,250,250
"SCP",0.999,17.4023208442373,0,"Student-t",12,500,500
"RSA-CP (OT) (Ours)",0.9935,12.0169888677775,0,"Student-t",12,500,500
"SPI",0.9925,10.775864016072,0,"Student-t",12,500,500
"Synthetic-only",0.991,10.5276792496322,0,"Student-t",12,500,500
"SCP",0.999,17.4023208442373,0,"Student-t",12,1000,1000
"RSA-CP (OT) (Ours)",0.9945,12.3713772794278,0,"Student-t",12,1000,1000
"SPI",0.9955,13.8945727472532,0.00999999999999979,"Student-t",12,1000,1000
"Synthetic-only",0.995,13.8619237569614,0,"Student-t",12,1000,1000
"SCP",0.999,17.4023208442373,0,"Student-t",12,2000,2000
"RSA-CP (OT) (Ours)",0.99,10.4061324511853,0,"Student-t",12,2000,2000
"SPI",0.9925,10.7563807094372,0.0300000000000002,"Student-t",12,2000,2000
"Synthetic-only",0.9915,10.6797295833482,0,"Student-t",12,2000,2000
"SCP",0.999,17.4023208442373,0,"Student-t",12,3000,3000
"RSA-CP (OT) (Ours)",0.992,10.6960866061719,0.0199999999999996,"Student-t",12,3000,3000
"SPI",0.9935,11.7979577527384,0.04,"Student-t",12,3000,3000
"Synthetic-only",0.9935,11.793032516232,0,"Student-t",12,3000,3000
"SCP",0.973,11.4647562075193,0,"LogNormal",13,50,50
"RSA-CP (OT) (Ours)",0.973,11.452647066328,0,"LogNormal",13,50,50
"SPI",0.997,23.6922441532112,0,"LogNormal",13,50,50
"Synthetic-only",0.997,22.0425930859184,0,"LogNormal",13,50,50
"SCP",0.973,11.4647562075193,0,"LogNormal",13,100,100
"RSA-CP (OT) (Ours)",0.959,9.54044567105245,0,"LogNormal",13,100,100
"SPI",0.9385,8.46664251899689,0,"LogNormal",13,100,100
"Synthetic-only",0.9005,7.22378928324141,0,"LogNormal",13,100,100
"SCP",0.973,11.4647562075193,0,"LogNormal",13,250,250
"RSA-CP (OT) (Ours)",0.9595,9.66488874487447,0.0199999999999996,"LogNormal",13,250,250
"SPI",0.99,14.3961833548553,0,"LogNormal",13,250,250
"Synthetic-only",0.9945,17.4423140696185,0,"LogNormal",13,250,250
"SCP",0.973,11.4647562075193,0,"LogNormal",13,500,500
"RSA-CP (OT) (Ours)",0.9545,9.2357080270468,0,"LogNormal",13,500,500
"SPI",0.99,14.3961833548553,0.0100000000000007,"LogNormal",13,500,500
"Synthetic-only",0.991,15.3893799586524,0,"LogNormal",13,500,500
"SCP",0.973,11.4647562075193,0,"LogNormal",13,1000,1000
"RSA-CP (OT) (Ours)",0.9515,9.07367806166002,0,"LogNormal",13,1000,1000
"SPI",0.99,14.3961833548553,0.0199999999999996,"LogNormal",13,1000,1000
"Synthetic-only",0.9905,14.9765684699993,0,"LogNormal",13,1000,1000
"SCP",0.973,11.4647562075193,0,"LogNormal",13,2000,2000
"RSA-CP (OT) (Ours)",0.943,8.60290309671844,0,"LogNormal",13,2000,2000
"SPI",0.978,12.189857865088,0.0300000000000002,"LogNormal",13,2000,2000
"Synthetic-only",0.9735,11.5192622156117,0,"LogNormal",13,2000,2000
"SCP",0.973,11.4647562075193,0,"LogNormal",13,3000,3000
"RSA-CP (OT) (Ours)",0.944,8.65350840905208,0.0200000000000005,"LogNormal",13,3000,3000
"SPI",0.953,9.16912715232729,0.0499999999999998,"LogNormal",13,3000,3000
"Synthetic-only",0.953,9.13809607675554,0,"LogNormal",13,3000,3000
"SCP",0.9885,9.84764573780169,0,"Student-t",13,50,50
"RSA-CP (OT) (Ours)",0.9885,9.841645498126,0,"Student-t",13,50,50
"SPI",0.9985,16.1352471560638,0,"Student-t",13,50,50
"Synthetic-only",0.9945,12.2079181278917,0,"Student-t",13,50,50
"SCP",0.9885,9.84764573780169,0,"Student-t",13,100,100
"RSA-CP (OT) (Ours)",0.9875,9.62442751599419,0.00999999999999979,"Student-t",13,100,100
"SPI",0.995,13.3561210551818,0,"Student-t",13,100,100
"Synthetic-only",0.9965,14.9485574093048,0,"Student-t",13,100,100
"SCP",0.9885,9.84764573780169,0,"Student-t",13,250,250
